WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,TFK_X_mm,TFK_Y_mm,TFK_Thickness,Distance_mm,Thickness_Delta,BTM_File,TFK_File
AANBD183TEG3,-135.7,57.4,3371.0,-136.2,57.9062,3389.780029,0.7115043499515654,-18.780029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-57.4,-135.7,3371.0,-57.9062,-136.2,3389.610107,0.7115043499515654,-18.61010699999997,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-57.4,135.7,3372.0,-57.9062,136.2,3388.149902,0.7115043499515654,-16.14990200000011,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,57.4,-135.7,3370.0,57.9062,-136.2,3389.620117,0.7115043499515654,-19.620116999999937,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,135.7,57.4,3371.0,136.2,57.9062,3387.659912,0.7115043499515654,-16.659912000000077,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD202TEC1,0.0,-3.6,3369.0,0.0067,-3.6622,3380.530029,0.06255981138078963,-11.530029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,-19.3,3371.0,19.3019,-19.3019,3383.939941,0.0026870057685076426,-12.93994100000009,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,19.3,3371.0,19.3019,19.3019,3383.320068,0.0026870057685076426,-12.320067999999992,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-47.5,-36.4,3370.0,-47.4578,-36.4348,3381.73999,0.054698080405078064,-11.739990000000034,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.9,19.3,3369.0,-57.9062,19.3019,3381.219971,0.0064845971347489055,-12.219970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-19.3,-57.9,3371.0,-19.3019,-57.9062,3382.290039,0.0064845971347489055,-11.290038999999979,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-19.3,57.9,3369.0,-19.3019,57.9062,3380.459961,0.0064845971347489055,-11.459961000000021,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,71.2,-3.6,3367.0,71.2039,-3.6622,3379.280029,0.062322146946330315,-12.280029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
