WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,DMT_X_mm,DMT_Y_mm,DMT_Thickness,Distance_mm,Thickness_Delta,BTM_File,DMT_File
AANBD252TEC4,-136.2,-57.9,3385.0,-135.0,-57.0,3344.9,1.49999999999999,40.09999999999991,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-136.2,57.9,3385.0,-135.0,57.0,3342.794,1.49999999999999,42.20600000000013,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-57.9,-136.2,3385.0,-57.0,-135.0,3341.388,1.49999999999999,43.61200000000008,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,-57.9,136.2,3386.0,-57.0,135.0,3346.108,1.49999999999999,39.891999999999825,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD252TEC4,57.9,-136.2,3383.0,57.0,-135.0,3344.793,1.49999999999999,38.20699999999988,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD183TEG3,0.0,-3.6,3396.0,0.0,0.0,3368.54,3.6,27.460000000000036,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD183TEG3,19.3,-19.3,3390.0,18.0,-21.0,3364.641,2.1400934559032696,25.358999999999924,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD183TEG3,19.3,19.3,3394.0,18.0,18.0,3368.641,1.8384776310850246,25.358999999999924,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD183TEG3,-47.5,-36.4,3386.0,-48.0,-36.0,3360.809,0.640312423743284,25.190999999999804,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD183TEG3,-57.9,19.3,3388.0,-57.0,18.0,3362.605,1.5811388300841893,25.394999999999982,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD183TEG3,-19.3,-57.9,3385.0,-18.0,-57.0,3360.412,1.5811388300841893,24.588000000000193,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
AANBD183TEG3,-19.3,57.9,3387.0,-18.0,57.0,3362.343,1.5811388300841893,24.657000000000153,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.49.34.0629148-LCTW01516-8374-DMT115-TTG622-DMTDUMMY.xml
